Date,Close
2/12/2019,525.5
2/13/2019,522
2/14/2019,542
2/15/2019,574
2/19/2019,645
2/20/2019,651
2/21/2019,612
2/22/2019,618
2/25/2019,585
2/26/2019,597.5
2/27/2019,560
2/28/2019,540.5
3/1/2019,492.5
3/4/2019,490.5
3/5/2019,491.5
3/6/2019,455.5
3/7/2019,468.5
3/8/2019,527
3/11/2019,514.5
3/12/2019,543.5
3/13/2019,561
3/14/2019,516
3/15/2019,525.5
3/18/2019,511
3/19/2019,518
3/20/2019,558.5
3/21/2019,561
3/22/2019,540.5
3/25/2019,577.5
3/26/2019,577.5
3/27/2019,548
3/28/2019,490
3/29/2019,490.5
